Discrete GPU Completion time (ms); Integrated GPU Completion time (ms); CPU completion time (ms); Matrix size (elements);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads;Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Arithmetic operations (per thread)
2.1;1.94;1.9;4096;64;64;1;16;16;1;32768;16384;2048;0;8;1;128;8;277
2.16;2.07;5.2;16384;128;128;1;16;16;1;131072;65536;2048;0;16;1;256;16;549
2.19;2.58;10.36;36864;192;192;1;16;16;1;294912;147456;2048;0;24;1;384;24;821
2.54;2.93;21.51;65536;256;256;1;16;16;1;524288;262144;2048;0;32;1;512;32;1093
2.76;3.65;40.35;102400;320;320;1;16;16;1;819200;409600;2048;0;40;1;640;40;1365
2.92;4.61;68.9;147456;384;384;1;16;16;1;1179648;589824;2048;0;48;1;768;48;1637
3.44;5.77;109.68;200704;448;448;1;16;16;1;1605632;802816;2048;0;56;1;896;56;1909
3.95;7.54;164.74;262144;512;512;1;16;16;1;2097152;1048576;2048;0;64;1;1024;64;2181
4.46;11.51;235.6;331776;576;576;1;16;16;1;2654208;1327104;2048;0;72;1;1152;72;2453
4.81;14.82;324.13;409600;640;640;1;16;16;1;3276800;1638400;2048;0;80;1;1280;80;2725
5.57;18.32;435.3;495616;704;704;1;16;16;1;3964928;1982464;2048;0;88;1;1408;88;2997
6.45;22.43;561.93;589824;768;768;1;16;16;1;4718592;2359296;2048;0;96;1;1536;96;3269
7.46;27;715.55;692224;832;832;1;16;16;1;5537792;2768896;2048;0;104;1;1664;104;3541
8.67;32.66;896.5;802816;896;896;1;16;16;1;6422528;3211264;2048;0;112;1;1792;112;3813
10.49;38.91;1100.12;921600;960;960;1;16;16;1;7372800;3686400;2048;0;120;1;1920;120;4085
11.94;46.07;1338.22;1048576;1024;1024;1;16;16;1;8388608;4194304;2048;0;128;1;2048;128;4357
